"ANO_ELEICAO","NUM_TURNO","UF","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2006","1","AC","DEPUTADO FEDERAL","27","PSDC","826"
"1998","1","AC","DEPUTADO FEDERAL","17","PSL","40"
"2002","1","AC","DEPUTADO FEDERAL","17","PSL","528"
"2014","1","AC","DEPUTADO FEDERAL","17","PSL","118"
"2018","1","AC","DEPUTADO FEDERAL","17","PSL","31586"
"2010","1","AC","DEPUTADO FEDERAL","17","PSL","165"
"2014","1","AC","DEPUTADO FEDERAL","50","PSOL","637"
"2006","1","AC","DEPUTADO FEDERAL","50","PSOL","1905"
"2018","1","AC","DEPUTADO FEDERAL","50","PSOL","5300"
"2002","1","AC","DEPUTADO FEDERAL","18","PST","1679"
"1998","1","AC","DEPUTADO FEDERAL","16","PSTU","58"
"2010","1","AC","DEPUTADO FEDERAL","13","PT","84233"
"2014","1","AC","DEPUTADO FEDERAL","13","PT","97639"
"1998","1","AC","DEPUTADO FEDERAL","13","PT","47880"
"2018","1","AC","DEPUTADO FEDERAL","13","PT","42313"
"2006","1","AC","DEPUTADO FEDERAL","13","PT","69643"
"2002","1","AC","DEPUTADO FEDERAL","13","PT","70755"
"2006","1","AC","DEPUTADO FEDERAL","70","PT do B","215"
"2014","1","AC","DEPUTADO FEDERAL","70","PT do B","1555"
"1998","1","AC","DEPUTADO FEDERAL","70","PT do B","328"
"2010","1","AC","DEPUTADO FEDERAL","70","PT do B","90"
"2002","1","AC","DEPUTADO FEDERAL","70","PT do B","106"
"2010","1","AC","DEPUTADO FEDERAL","14","PTB","2607"
"2006","1","AC","DEPUTADO FEDERAL","14","PTB","587"
"1998","1","AC","DEPUTADO FEDERAL","14","PTB","238"
"2018","1","AC","DEPUTADO FEDERAL","14","PTB","5039"
"2014","1","AC","DEPUTADO FEDERAL","14","PTB","4257"
"2002","1","AC","DEPUTADO FEDERAL","14","PTB","11871"
"2014","1","AC","DEPUTADO FEDERAL","36","PTC","94"
"2010","1","AC","DEPUTADO FEDERAL","36","PTC","717"
"2018","1","AC","DEPUTADO FEDERAL","36","PTC","3539"
"2006","1","AC","DEPUTADO FEDERAL","19","PTN","397"
"2014","1","AC","DEPUTADO FEDERAL","19","PTN","848"
"2010","1","AC","DEPUTADO FEDERAL","19","PTN","146"
"2002","1","AC","DEPUTADO FEDERAL","43","PV","7497"
"2010","1","AC","DEPUTADO FEDERAL","43","PV","23424"
"2014","1","AC","DEPUTADO FEDERAL","43","PV","4358"
"2018","1","AC","DEPUTADO FEDERAL","43","PV","5846"
"2006","1","AC","DEPUTADO FEDERAL","43","PV","531"
"1998","1","AC","DEPUTADO FEDERAL","43","PV","90"
"2018","1","AC","DEPUTADO FEDERAL","18","REDE","6182"
"2014","1","AC","DEPUTADO FEDERAL","77","SD","5016"
"2018","1","AC","DEPUTADO FEDERAL","77","SOLIDARIEDADE","22983"
"2018","1","AL","DEPUTADO FEDERAL","70","AVANTE","56700"
"2018","1","AL","DEPUTADO FEDERAL","27","DC","225"
"2014","1","AL","DEPUTADO FEDERAL","25","DEM","10199"
"2018","1","AL","DEPUTADO FEDERAL","25","DEM","5899"
"2010","1","AL","DEPUTADO FEDERAL","25","DEM","19653"
"2018","1","AL","DEPUTADO FEDERAL","15","MDB","87250"
"2018","1","AL","DEPUTADO FEDERAL","30","NOVO","13103"
"1998","1","AL","DEPUTADO FEDERAL","26","PAN","352"
"2006","1","AL","DEPUTADO FEDERAL","26","PAN","1324"
"2002","1","AL","DEPUTADO FEDERAL","26","PAN","767"
"2018","1","AL","DEPUTADO FEDERAL","51","PATRI","3537"
"2006","1","AL","DEPUTADO FEDERAL","65","PC do B","1184"
"1998","1","AL","DEPUTADO FEDERAL","65","PC do B","13621"
"2002","1","AL","DEPUTADO FEDERAL","65","PC do B","11145"
"2018","1","AL","DEPUTADO FEDERAL","65","PC do B","5588"
"2014","1","AL","DEPUTADO FEDERAL","65","PC do B","585"
"2010","1","AL","DEPUTADO FEDERAL","65","PC do B","6245"
"2010","1","AL","DEPUTADO FEDERAL","21","PCB","861"
"2006","1","AL","DEPUTADO FEDERAL","21","PCB","869"
"2018","1","AL","DEPUTADO FEDERAL","21","PCB","1053"
"2014","1","AL","DEPUTADO FEDERAL","12","PDT","95519"
"2002","1","AL","DEPUTADO FEDERAL","12","PDT","22886"
"2010","1","AL","DEPUTADO FEDERAL","12","PDT","17397"
"1998","1","AL","DEPUTADO FEDERAL","12","PDT","28821"
"2006","1","AL","DEPUTADO FEDERAL","12","PDT","118781"
"2018","1","AL","DEPUTADO FEDERAL","12","PDT","69962"
"2002","1","AL","DEPUTADO FEDERAL","25","PFL","126989"
"1998","1","AL","DEPUTADO FEDERAL","25","PFL","81822"
"2006","1","AL","DEPUTADO FEDERAL","25","PFL","163991"
"2002","1","AL","DEPUTADO FEDERAL","30","PGT","519"
"1998","1","AL","DEPUTADO FEDERAL","30","PGT","225"
"2010","1","AL","DEPUTADO FEDERAL","31","PHS","3950"
"2018","1","AL","DEPUTADO FEDERAL","31","PHS","6986"
"2002","1","AL","DEPUTADO FEDERAL","31","PHS","2660"
"2014","1","AL","DEPUTADO FEDERAL","31","PHS","2237"
"2006","1","AL","DEPUTADO FEDERAL","31","PHS","6106"
"2006","1","AL","DEPUTADO FEDERAL","22","PL","58471"
