aa_eleicao;sg_uf;cd_cargo;nm_cargo;qt_votos_validos_qe;qt_vagas_qe;vr_quociente_eleitoral;tx_legenda_tot;qt_vagas_qp_preenchida;qt_vagas_media_qp;qt_vagas_qp_obtida;qt_votos_coligacao_qp
2022;CE;7;Deputado Estadual;5054996;46;109891;PSD;3;0;3;330399
2022;PB;6;Deputado Federal;2209355;12;184113;PP;1;1;1;327019
2022;AM;6;Deputado Federal;1976477;8;247060;CIDADANIA / PSDB;1;0;1;323729
2022;AM;6;Deputado Federal;1976477;8;247060;PSD;1;1;1;323344
2022;RJ;7;Deputado Estadual;8492935;70;121328;REPUBLICANOS;2;1;2;322674
2022;PR;7;Deputado Estadual;6058064;54;112186;CIDADANIA / PSDB;2;1;2;322115
2022;RS;6;Deputado Federal;6149822;31;198381;PDT;1;1;1;321317
2022;RS;6;Deputado Federal;6149822;31;198381;PODE;1;0;1;318850
2022;MS;6;Deputado Federal;1374808;8;171851;CIDADANIA / PSDB;1;2;1;317502
2022;RN;6;Deputado Federal;1864825;8;233103;PT / PV / PC do B;1;1;1;316707
2022;MG;7;Deputado Estadual;11076602;77;143852;MDB;2;0;2;315679
2022;RN;6;Deputado Federal;1864825;8;233103;UNIÃO;1;1;1;315590
2022;PB;6;Deputado Federal;2209355;12;184113;PSC;1;1;1;314599
2022;MG;7;Deputado Estadual;11076602;77;143852;PDT;2;0;2;313735
2022;MG;6;Deputado Federal;11181098;53;210964;REDE / PSOL;1;0;1;312260
2022;BA;7;Deputado Estadual;7937716;63;125995;PSB;2;0;2;311346
2022;RJ;7;Deputado Estadual;8492935;70;121328;PODE;2;0;2;307758
2022;RS;7;Deputado Estadual;6155799;55;111924;UNIÃO;2;1;2;305406
2022;MA;6;Deputado Federal;3706498;18;205917;PP;1;1;1;304434
2022;RS;6;Deputado Federal;6149822;31;198381;REDE / PSOL;1;0;1;303180
2022;RS;6;Deputado Federal;6149822;31;198381;NOVO;1;0;1;301966
2022;PA;6;Deputado Federal;4521516;17;265972;UNIÃO;1;0;1;301599
2022;MA;6;Deputado Federal;3706498;18;205917;MDB;1;0;1;301583
2022;DF;6;Deputado Federal;1607519;8;200940;REPUBLICANOS;1;2;1;301307
2022;ES;6;Deputado Federal;2084430;10;208443;PP;1;1;1;296301
2022;PA;7;Deputado Estadual;4538980;41;110707;PP;2;1;2;296271
2022;RJ;7;Deputado Estadual;8492935;70;121328;MDB;2;0;2;295846
2022;RS;6;Deputado Federal;6149822;31;198381;PSD;1;0;1;295357
2022;PR;6;Deputado Federal;6038642;30;201288;REPUBLICANOS;1;0;1;295297
2022;CE;7;Deputado Estadual;5054996;46;109891;PP;2;1;2;295195
2022;SC;7;Deputado Estadual;4004036;40;100101;PSD;2;1;2;293675
2022;SP;6;Deputado Federal;23375585;70;333937;PSC;0;1;0;293192
2022;MS;7;Deputado Estadual;1404566;24;58524;CIDADANIA / PSDB;5;1;5;293036
2022;GO;6;Deputado Federal;3439644;17;202332;PT / PV / PC do B;1;1;1;292767
2022;AM;6;Deputado Federal;1976477;8;247060;REPUBLICANOS;1;1;1;291549
2022;DF;6;Deputado Federal;1607519;8;200940;PT / PV / PC do B;1;1;1;291004
2022;PE;7;Deputado Estadual;5013585;49;102318;CIDADANIA / PSDB;2;1;2;289991
2022;BA;6;Deputado Federal;7958431;39;204062;MDB;1;0;1;289982
2022;RS;7;Deputado Estadual;6155799;55;111924;REDE / PSOL;2;0;2;288839
2022;GO;6;Deputado Federal;3439644;17;202332;PP;1;1;1;287770
2022;SP;6;Deputado Federal;23375585;70;333937;PDT;0;0;0;285898
2022;PA;7;Deputado Estadual;4538980;41;110707;PL;2;1;2;285138
2022;PB;6;Deputado Federal;2209355;12;184113;PL;1;1;1;283272
2022;GO;7;Deputado Estadual;3434510;41;83769;PRTB;3;1;3;282511
2022;SC;7;Deputado Estadual;4004036;40;100101;PP;2;1;2;280551
2022;SC;6;Deputado Federal;3969848;16;248115;UNIÃO;1;0;1;279432
2022;GO;6;Deputado Federal;3439644;17;202332;MDB;1;1;1;277308
2022;MA;6;Deputado Federal;3706498;18;205917;PSB;1;0;1;277012
2022;BA;6;Deputado Federal;7958431;39;204062;AVANTE;1;0;1;276488
2022;DF;6;Deputado Federal;1607519;8;200940;PL;1;1;1;275496
2022;BA;7;Deputado Estadual;7937716;63;125995;SOLIDARIEDADE;2;0;2;274173
2022;BA;6;Deputado Federal;7958431;39;204062;CIDADANIA / PSDB;1;0;1;274059
2022;SC;6;Deputado Federal;3969848;16;248115;CIDADANIA / PSDB;1;0;1;273775
2022;PR;6;Deputado Federal;6038642;30;201288;MDB;1;0;1;273684
2022;GO;6;Deputado Federal;3439644;17;202332;REPUBLICANOS;1;0;1;273442
2022;MT;6;Deputado Federal;1730277;8;216285;MDB;1;1;1;272659
2022;CE;7;Deputado Estadual;5054996;46;109891;CIDADANIA / PSDB;2;0;2;272015
2022;RJ;6;Deputado Federal;8575988;46;186435;PODE;1;0;1;267667
2022;PA;7;Deputado Estadual;4538980;41;110707;PSC;2;0;2;267638
2022;PE;6;Deputado Federal;4969863;25;198795;REDE / PSOL;1;0;1;266874
2022;SC;7;Deputado Estadual;4004036;40;100101;UNIÃO;2;1;2;265764
2022;ES;7;Deputado Estadual;2077274;30;69242;PL;3;2;3;265398
2022;PA;7;Deputado Estadual;4538980;41;110707;PODE;2;0;2;262544
2022;AL;6;Deputado Federal;1650763;9;183418;MDB;1;1;1;260713
2022;CE;6;Deputado Federal;5108239;22;232193;MDB;1;0;1;259545
2022;PE;6;Deputado Federal;4969863;25;198795;MDB;1;0;1;259476
2022;RJ;7;Deputado Estadual;8492935;70;121328;PDT;2;0;2;259306
2022;MG;6;Deputado Federal;11181098;53;210964;PSC;1;0;1;258888
2022;ES;7;Deputado Estadual;2077274;30;69242;REPUBLICANOS;3;1;3;258409
2022;MT;7;Deputado Estadual;1728127;24;72005;UNIÃO;3;1;3;257949
2022;AM;7;Deputado Estadual;1968109;24;82005;AVANTE;3;1;3;253980
2022;GO;7;Deputado Estadual;3434510;41;83769;PT / PV / PC do B;2;1;2;251213
2022;PR;7;Deputado Estadual;6058064;54;112186;MDB;2;0;2;249744
2022;MT;6;Deputado Federal;1730277;8;216285;UNIÃO;1;1;1;249328
2022;BA;7;Deputado Estadual;7937716;63;125995;MDB;1;1;1;246881
2022;PE;7;Deputado Estadual;5013585;49;102318;REPUBLICANOS;2;0;2;246553
2022;MT;7;Deputado Estadual;1728127;24;72005;PSB;3;1;3;245099
2022;RJ;6;Deputado Federal;8575988;46;186435;PROS;1;0;1;243889
2022;SC;6;Deputado Federal;3969848;16;248115;NOVO;0;1;0;243668
2022;RN;7;Deputado Estadual;1865045;24;77710;PL;3;0;3;242973
